filename,text
augmented_baseball bat_from_above_0.png,a blue baseball bat two green dots on its body
augmented_baseball bat_from_side_0.png,a blue baseball bat with a green dot on its side and a green dot on its tip
augmented_baseball bat_from_front_1.png,a blue baseball bat with a green dot on its handel
augmented_baseball bat_from_side_1.png,a gray baseball bat with a green dot on its side and a green dot on its tip
augmented_baseball bat_from_side_2.png,a blue baseball bat with a green dot on its handel
augmented_bottle_from_above_1.png,a bottle with a green dot on the Middle section of the bottle and a green dot on the bottles neck
augmented_bottle_from_above_2.png,a bottle with a green dot on it cap
augmented_bottle_from_front_0.png,a bottle with a green dot on the Middle section of the bottle and a green dot on the bottles cap
augmented_bottle_from_left_0.png,a bottle with a green dot on the Middle section of the bottle and a green dot on the bottles bottom
augmented_bottle_from_right_0.png,a bottle with two green dots on the Middle section of the bottle
augmented_bottle_from_side_0.png,a bottle with a green dot on the Middle section of the bottle and a green dot on the bottles neck
augmented_bottle_from_side_1.png,a bottle with two green dots on the Middle section of the bottle
augmented_bowl_from_above_0.png,a bowl with a green dot on the bowls edge
augmented_bowl_from_above_1.png,a bowl with two green dots on the middle section of the bowl
augmented_bowl_from_above_2.png,a bowl with two green dots on the middle section of the bowl
augmented_bowl_from_front_0.png,a bowl with a green dot on the bowls edge and a green dot on the bowls middle section
augmented_bowl_from_front_1.png,a bowl with a green dot on the bottom of the bowl
augmented_bowl_from_front_2.png,a bowl with a green dot on the bowls edge and a green dot on the bowls middle section
augmented_bowl_from_side_0.png,a bowl with a green dot on the bowls edge and a green dot on the bowls middle section
augmented_bowl_from_side_1.png,a bowl with a green dot on the middle section of the bowl
augmented_bowl_from_side_2.png,a bowl with a green dot on the middle section of the bowl
augmented_cup_from_above_0.png,a cup with two green dots on the body of the cup
augmented_cup_from_above_1.png,a cup with a green dot on the edge of the cup
augmented_cup_from_front_0.png,a cup with a green dot on the edge of the cup and a green dot on the bottom of the cup
augmented_cup_from_front_1.png,a cup with a green dot on the handel of the cup and a green dot on the bottom of the cup
augmented_cup_from_front_2.png,a cup with a green dot on the handel of the cup and a green dot on the bottom of the cup
augmented_cup_from_side_0.png,a cup with a green dot on the handel of the cup and a green dot on the bottom of the cup
augmented_cup_from_side_2.png,a cup with a green dot on the handel of the cup and a green dot on the middle section of the cup
augmented_remote_from_above_0.png,a remote with two green dots on the middle section of the remote
augmented_remote_from_above_1.png,a remote with a green dot on the middle section of the remote and a green dot on the tip of the remote
augmented_remote_from_above_2.png,a remote with two green dots on the middle section of the remote
augmented_remote_from_front_0.png,a remote with a green dot on the middle section of the remote and a green dot on the tip of the remote
augmented_remote_from_front_1.png,a remote with two green dots on the middle section of the remote
augmented_remote_from_side_0.png,a remote with two green dots on the middle section of the remote
augmented_remote_from_side_1.png,a remote with two green dots on the bottom of the remote
augmented_remote_from_side_2.png,a remote with two green dots on the middle section of the remote
augmented_scissors_from_above_0.png,a scissor with a green dot on the handel of the scissor and a green dot on the blade of the scissor
augmented_scissors_from_above_1.png,a scissor with a green dot on the handel of the scissor and a green dot on the blade of the scissor
augmented_scissors_from_above_2.png,a scissor with two green dots on the handel of the scissor 
augmented_scissors_from_front_0.png,a scissor with two green dots on the handel of the scissor 
augmented_scissors_from_front_1.png,a scissor with two green dots on the handel of the scissor 
augmented_scissors_from_front_2.png,a scissor with two green dots on the blade of the scissor 
augmented_scissors_from_side_0.png,a scissor with a green dot on the handel of the scissor and a green dot on the blade of the scissor
augmented_scissors_from_side_1.png,a scissor with a green dot on the handel of the scissor and a green dot on the blade of the scissor
augmented_scissors_from_side_2.png,a scissor with a green dot on the handel of the scissor and a green dot on the blade of the scissor
augmented_tooth brush_from_above_0.png,a toothbrush with two green dots on the handle of the toothbrush
augmented_tooth brush_from_front_0.png,a toothbrush with two green dots on the head of the toothbrush
augmented_tooth brush_from_side_1.png,a toothbrush with two green dots on the head of the toothbrush
augmented_tooth brush_from_side_2.png,a toothbrush a two green dot on the handle of the toothbrush
augmented_vase_from_above_1.png,a vase with a green dot on the middle section of the vase and a green dot on the top of the vase
augmented_vase_from_above_2.png,a vase with two green dots on the middle section of tha vase
augmented_vase_from_front_0.png,a vase with a green dot on the middle section of the vase and a green dot on the bottom of the vase
augmented_vase_from_front_1.png,a vase with a green dot on the middle section of the vase and a green dot on the bottom of the vase
augmented_vase_from_front_2.png,a vase with two green dots on the middle section of tha vase
augmented_vase_from_side_1.png,a vase with a green dot on the middle section of the vase and a green dot on the bottom of the vase
augmented_vase_from_side_2.png,a vase with a green dot on the bottom of the vase and a green dot on the tip of the vase
augmented_wine glass_from_above_1.png,a wine glass with a green dot on the edge of the wine glass
augmented_wine glass_from_front_0.png,a wine glass with two green dots on the stem of the wine glass
augmented_wine glass_from_front_2.png,a wine glass with two green dots on the body of the wine glass
augmented_wine glass_from_side_0.png,a wine glass with a green dot on  the stem of the wine glass and a green dot on the body of the wine glass
augmented_wine glass_from_side_1.png,a wine glass with two green dots on the stem of the wine glass
augmented_wine glass_from_side_2.png,a wine glass with a green dot on  the stem of the wine glass and a green dot on the edge of the wine glass
